question,answer,source,focus_area
What is (are) Glaucoma ?,"Glaucoma is a group of diseases that can damage the eye's optic nerve and result in vision loss and blindness. While glaucoma can strike anyone, the risk is much greater for people over 60. How Glaucoma Develops  There are several different types of glaucoma. Most of these involve the drainage system within the eye. At the front of the eye there is a small space called the anterior chamber. A clear fluid flows through this chamber and bathes and nourishes the nearby tissues. (Watch the video to learn more about glaucoma. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) In glaucoma, for still unknown reasons, the fluid drains too slowly out of the eye. As the fluid builds up, the pressure inside the eye rises. Unless this pressure is controlled, it may cause damage to the optic nerve and other parts of the eye and result in loss of vision. Open-angle Glaucoma The most common type of glaucoma is called open-angle glaucoma. In the normal eye, the clear fluid leaves the anterior chamber at the open angle where the cornea and iris meet. When fluid reaches the angle, it flows through a spongy meshwork, like a drain, and leaves the eye. Sometimes, when the fluid reaches the angle, it passes too slowly through the meshwork drain, causing the pressure inside the eye to build. If the pressure damages the optic nerve, open-angle glaucoma -- and vision loss -- may result. There is no cure for glaucoma. Vision lost from the disease cannot be restored. However, there are treatments that may save remaining vision. That is why early diagnosis is important.  See this graphic for a quick overview of glaucoma,  including how many people it affects, whos at risk, what to do if you have it, and how to learn more.  See a glossary of glaucoma terms.",NIHSeniorHealth,Glaucoma
What causes Glaucoma ?,"Nearly 2.7 million people have glaucoma, a leading cause of blindness in the United States. Although anyone can get glaucoma, some people are at higher risk. They include - African-Americans over age 40  - everyone over age 60, especially Hispanics/Latinos  - people with a family history of glaucoma. African-Americans over age 40 everyone over age 60, especially Hispanics/Latinos people with a family history of glaucoma.  In addition to age, eye pressure is a risk factor. Whether you develop glaucoma depends on the level of pressure your optic nerve can tolerate without being damaged. This level is different for each person. Thats why a comprehensive dilated eye exam is very important. It can help your eye care professional determine what level of eye pressure is normal for you. Another risk factor for optic nerve damage relates to blood pressure. Thus, it is important to also make sure that your blood pressure is at a proper level for your body by working with your medical doctor. (Watch the animated video to learn more about the causes of glaucoma. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)",NIHSeniorHealth,Glaucoma
What are the symptoms of Glaucoma ?,"Symptoms of Glaucoma  Glaucoma can develop in one or both eyes. The most common type of glaucoma, open-angle glaucoma, has no symptoms at first. It causes no pain, and vision seems normal. Without treatment, people with glaucoma will slowly lose their peripheral, or side vision. They seem to be looking through a tunnel. Over time, straight-ahead vision may decrease until no vision remains. Tests for Glaucoma Glaucoma is detected through a comprehensive eye exam that includes a visual acuity test, visual field test, dilated eye exam, tonometry, and pachymetry. (Watch the animated video to learn more about testing for glaucoma. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)  A visual acuity test uses an eye chart test to measure how well you see at various distances. A visual field test measures your side or peripheral vision. It helps your eye care professional tell if you have lost side vision, a sign of glaucoma. In a dilated eye exam, drops are placed in your eyes to widen, or dilate, the pupils. Your eye care professional uses a special magnifying lens to examine your retina and optic nerve for signs of damage and other eye problems. After the exam, your close-up vision may remain blurred for several hours. In tonometry, an instrument measures the pressure inside the eye. Numbing drops may be applied to your eye for this test. With pachymetry,  a numbing drop is applied to your eye. Your eye care professional uses an ultrasonic wave instrument to measure the thickness of your cornea.",NIHSeniorHealth,Glaucoma
What are the treatments for Glaucoma ?,"Although open-angle glaucoma cannot be cured, it can usually be controlled. While treatments may save remaining vision, they do not improve sight already lost from glaucoma. The most common treatments for glaucoma are medication and surgery. Medications  Medications for glaucoma may be either in the form of eye drops or pills. Some drugs reduce pressure by slowing the flow of fluid into the eye. Others help to improve fluid drainage. (Watch the video to learn more about coping with glaucoma. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) For most people with glaucoma, regular use of medications will control the increased fluid pressure. But, these drugs may stop working over time. Or, they may cause side effects. If a problem occurs, the eye care professional may select other drugs, change the dose, or suggest other ways to deal with the problem.  Read or listen to ways some patients are coping with glaucoma. Surgery Laser surgery is another treatment for glaucoma. During laser surgery, a strong beam of light is focused on the part of the anterior chamber where the fluid leaves the eye. This results in a series of small changes that makes it easier for fluid to exit the eye. Over time, the effect of laser surgery may wear off. Patients who have this form of surgery may need to keep taking glaucoma drugs. Researching Causes and Treatments Through studies in the laboratory and with patients, NEI is seeking better ways to detect, treat, and prevent vision loss in people with glaucoma. For example, researchers have discovered genes that could help explain how glaucoma damages the eye. NEI also is supporting studies to learn more about who is likely to get glaucoma, when to treat people who have increased eye pressure, and which treatment to use first.",NIHSeniorHealth,Glaucoma
What is (are) Glaucoma ?,"Glaucoma is a group of diseases that can damage the eye's optic nerve and result in vision loss and blindness. The most common form of the disease is open-angle glaucoma. With early treatment, you can often protect your eyes against serious vision loss. (Watch the video to learn more about glaucoma. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)  See this graphic for a quick overview of glaucoma, including how many people it affects, whos at risk, what to do if you have it, and how to learn more.  See a glossary of glaucoma terms.",NIHSeniorHealth,Glaucoma
What is (are) Glaucoma ?,The optic nerve is a bundle of more than 1 million nerve fibers. It connects the retina to the brain.,NIHSeniorHealth,Glaucoma
What is (are) Glaucoma ?,"Open-angle glaucoma is the most common form of glaucoma. In the normal eye, the clear fluid leaves the anterior chamber at the open angle where the cornea and iris meet. When the fluid reaches the angle, it flows through a spongy meshwork, like a drain, and leaves the eye. Sometimes, when the fluid reaches the angle, it passes too slowly through the meshwork drain, causing the pressure inside the eye to build. If the pressure damages the optic nerve, open-angle glaucoma -- and vision loss -- may result.",NIHSeniorHealth,Glaucoma
Who is at risk for Glaucoma? ?,"Anyone can develop glaucoma. Some people are at higher risk than others. They include - African-Americans over age 40  - everyone over age 60, especially Hispanics/Latinos  - people with a family history of glaucoma. African-Americans over age 40 everyone over age 60, especially Hispanics/Latinos people with a family history of glaucoma.  See this graphic for a quick overview of glaucoma, including how many people it affects, whos at risk, what to do if you have it, and how to learn more.",NIHSeniorHealth,Glaucoma
How to prevent Glaucoma ?,"At this time, we do not know how to prevent glaucoma. However, studies have shown that the early detection and treatment of glaucoma, before it causes major vision loss, is the best way to control the disease. So, if you fall into one of the higher risk groups for the disease, make sure to have a comprehensive dilated eye exam at least once every one to two years.  Get tips on finding an eye care professional. Learn what a comprehensive dilated eye exam involves.",NIHSeniorHealth,Glaucoma
What are the symptoms of Glaucoma ?,"At first, open-angle glaucoma has no symptoms. It causes no pain. Vision seems normal. Without treatment, people with glaucoma will slowly lose their peripheral, or side vision. They seem to be looking through a tunnel. Over time, straight-ahead vision may decrease until no vision remains.",NIHSeniorHealth,Glaucoma
What are the treatments for Glaucoma ?,"Yes. Immediate treatment for early stage, open-angle glaucoma can delay progression of the disease. That's why early diagnosis is very important. Glaucoma treatments include medicines, laser surgery, conventional surgery, or a combination of any of these. While these treatments may save remaining vision, they do not improve sight already lost from glaucoma.",NIHSeniorHealth,Glaucoma
what research (or clinical trials) is being done for Glaucoma ?,"Through studies in the laboratory and with patients, the National Eye Institute is seeking better ways to detect, treat, and prevent vision loss in people with glaucoma. For example, researchers have discovered genes that could help explain how glaucoma damages the eye. NEI also is supporting studies to learn more about who is likely to get glaucoma, when to treat people who have increased eye pressure, and which treatment to use first.",NIHSeniorHealth,Glaucoma
Who is at risk for Glaucoma? ?,Encourage them to have a comprehensive dilated eye exam at least once every two years. Remember -- lowering eye pressure in glaucoma's early stages slows progression of the disease and helps save vision.  Get tips on finding an eye care professional.,NIHSeniorHealth,Glaucoma
What is (are) Glaucoma ?,"National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  301-496-5248  E-mail: 2020@nei.nih.gov  www.nei.nih.gov The Glaucoma Foundation  80 Maiden Lane, Suite 700  New York, NY 10038  212-285-0080 Glaucoma Research Foundation  251 Post Street, Suite 600  San Francisco, CA 94108  1-800-826-6693",NIHSeniorHealth,Glaucoma
What is (are) High Blood Pressure ?,"High blood pressure is a common disease in which blood flows through blood vessels (arteries) at higher than normal pressures. What Is Blood Pressure? Blood pressure is the force of blood pushing against the walls of the blood vessels as the heart pumps blood. If your blood pressure rises and stays high over time, its called high blood pressure. High blood pressure is dangerous because it makes the heart work too hard, and the high force of the blood flow can harm arteries and organs such as the heart, kidneys, brain, and eyes. Types of High Blood Pressure There are two main types of high blood pressure: primary and secondary high blood pressure. - Primary, or essential, high blood pressure is the most common type of high blood pressure. This type of high blood pressure tends to develop over years as a person ages.   - Secondary high blood pressure is caused by another medical condition or use of certain medicines. This type usually resolves after the cause is treated or removed. Primary, or essential, high blood pressure is the most common type of high blood pressure. This type of high blood pressure tends to develop over years as a person ages. Secondary high blood pressure is caused by another medical condition or use of certain medicines. This type usually resolves after the cause is treated or removed. Measuring Blood Pressure Blood pressure is always given as two numbers, the systolic and diastolic pressures. Both are important. - Systolic Pressure  is the pressure of blood against the artery walls when the heart beats.  -  Diastolic Pressure is the pressure of blood against the artery walls when the heart is at rest between beats. Systolic Pressure  is the pressure of blood against the artery walls when the heart beats.  Diastolic Pressure is the pressure of blood against the artery walls when the heart is at rest between beats. Usually these numbers are written one above or before the other -- for example, 120/80 mmHg. The top, or first, number is the systolic and the bottom, or second number, is the diastolic. If your blood pressure is 120/80, you say that it is ""120 over 80."" Normal Blood Pressure Normal blood pressure for adults is defined as a systolic pressure below 120 mmHg and a diastolic pressure below 80 mmHg. It is normal for blood pressures to change when you sleep, wake up, or are excited or nervous. When you are active, it is normal for your blood pressure to increase. However, once the activity stops, your blood pressure returns to your normal baseline range. Blood pressure normally rises with age and body size. Newborn babies often have very low blood pressure numbers that are considered normal for babies, while older teens have numbers similar to adults. Abnormal Blood Pressure Abnormal blood pressure is higher than 120/80 mmHg. If either your systolic or diastolic blood pressure is higher than normal (120/80) but not high enough to be considered high blood pressure (140/90), you have pre-hypertension. Pre-hypertension is a top number between 120 and 139 or a bottom number between 80 and 89 mmHg. For example, blood pressure readings of 138/82, 128/70, or 115/86 are all in the ""pre-hypertension"" range. (Click the table on the right to see the stages of high blood pressure in adults.) A systolic blood pressure of 140 mmHg or higher, or a diastolic blood pressure of 90 mmHg or higher, is considered high blood pressure, or hypertension. Hypertension is the medical term for high blood pressure. If you have diabetes or chronic kidney disease, your recommended blood pressure levels are a systolic blood pressure of 130 mmHg or lower, and a diastolic blood pressure of 80 mmHg or lower. Usually Has No Symptoms High blood pressure is often called ""the silent killer"" because it usually has no symptoms. Occasionally, headaches may occur. Some people may not find out they have high blood pressure until they have trouble with their heart, kidneys, or eyes. When high blood pressure is not diagnosed and treated, it can lead to other life-threatening conditions, including heart attack, heart failure, stroke, and kidney failure. It can also lead to vision changes or blindness. Possible Complications Over Time Over time, high blood pressure can cause - your heart to work too hard and become larger or weaker, which can lead to heart failure.   - small bulges (aneurysms) to worsen in your blood vessels. Common locations for aneurysms are the aorta, which is the main artery from the heart; the arteries in your brain, legs, and intestines; and the artery leading to your spleen.  - blood vessels in your kidneys to narrow, which can cause kidney failure.  - blood vessels in your eyes to burst or bleed, which can cause vision changes and can result in blindness.   - arteries throughout your body to ""harden"" faster, especially those in your heart, brain, kidneys, and legs. This can cause a heart attack, stroke, or kidney failure. your heart to work too hard and become larger or weaker, which can lead to heart failure. small bulges (aneurysms) to worsen in your blood vessels. Common locations for aneurysms are the aorta, which is the main artery from the heart; the arteries in your brain, legs, and intestines; and the artery leading to your spleen. blood vessels in your kidneys to narrow, which can cause kidney failure. blood vessels in your eyes to burst or bleed, which can cause vision changes and can result in blindness. arteries throughout your body to ""harden"" faster, especially those in your heart, brain, kidneys, and legs. This can cause a heart attack, stroke, or kidney failure.",NIHSeniorHealth,High Blood Pressure
What causes High Blood Pressure ?,"Changes in Body Functions Researchers continue to study how various changes in normal body functions cause high blood pressure. The key functions affected in high blood pressure include -  kidney fluid and salt balances  -  the renin-angiotensin-aldosterone system   - the sympathetic nervous system activity   - blood vessel structure and function. kidney fluid and salt balances the renin-angiotensin-aldosterone system the sympathetic nervous system activity blood vessel structure and function. Kidney Fluid and Salt Balances The kidneys normally regulate the bodys salt balance by retaining sodium and water and eliminating potassium. Imbalances in this kidney function can expand blood volumes, which can cause high blood pressure. Renin-Angiotensin-Aldosterone System The renin-angiotensin-aldosterone system makes angiotensin and aldosterone hormones. Angiotensin narrows or constricts blood vessels, which can lead to an increase in blood pressure. Aldosterone controls how the kidneys balance fluid and salt levels. Increased aldosterone levels or activity may change this kidney function, leading to increased blood volumes and high blood pressure. Sympathetic Nervous System Activity The sympathetic nervous system has important functions in blood pressure regulation, including heart rate, blood pressure, and breathing rate. Researchers are investigating whether imbalances in this system cause high blood pressure. Blood Vessel Structure and Function Changes in the structure and function of small and large arteries may contribute to high blood pressure. The angiotensin pathway and the immune system may stiffen small and large arteries, which can affect blood pressure. Genetic Causes High blood pressure often runs in families. Years of research have identified many genes and other mutations associated with high blood pressure. However, known genetic factors only account for 2 to 3 percent of all cases. Emerging research suggests that certain DNA changes before birth also may cause the development of high blood pressure later in life. Unhealthy Lifestyle Habits Unhealthy lifestyle habits can cause high blood pressure, including - high sodium intake and sodium sensitivity  - drinking too much alcohol  - lack of physical activity. high sodium intake and sodium sensitivity drinking too much alcohol lack of physical activity. Overweight and Obesity Research studies show that being overweight or obese can increase the resistance in the blood vessels, causing the heart to work harder and leading to high blood pressure. Medicines Prescription medicines such as asthma or hormone therapies (including birth control pills and estrogen) and over-the-counter medicines such as cold relief medicines may cause high blood pressure. This happens because medicines can - change the way your body controls fluid and salt balances  - cause your blood vessels to constrict  -  impact the renin-angiotensin-aldosterone system, leading to high blood pressure.  change the way your body controls fluid and salt balances cause your blood vessels to constrict impact the renin-angiotensin-aldosterone system, leading to high blood pressure. Other Causes Other causes of high blood pressure include medical conditions such as chronic kidney disease, sleep apnea, thyroid problems, or certain tumors. These conditions can change the way your body controls fluids, sodium, and hormones in your blood, which leads to secondary high blood pressure.",NIHSeniorHealth,High Blood Pressure
Who is at risk for High Blood Pressure? ?,"Not a Normal Part of Aging Nearly 1 in 3 American adults have high blood pressure. Many people get high blood pressure as they get older. However, getting high blood pressure is not a normal part of aging. There are things you can do to help keep your blood pressure normal, such as eating a healthy diet and getting more exercise. Risk Factors Anyone can develop high blood pressure. However, these factors can increase your risk for developing high blood pressure. -  age  - race or ethnicity  - being overweight  - gender  - lifestyle habits  - a family history of high blood pressure.  age race or ethnicity being overweight gender lifestyle habits a family history of high blood pressure. Age Blood pressure tends to rise with age. In fact, about 65 percent of Americans age 60 or older have high blood pressure. Race/Ethnicity High blood pressure is more common in African American adults than in Caucasian or Hispanic American adults. Compared with these ethnic groups, African Americans -  tend to get high blood pressure earlier in life  - often have higher blood pressure numbers  - are less likely to achieve target blood pressure goals with treatment. tend to get high blood pressure earlier in life often have higher blood pressure numbers are less likely to achieve target blood pressure goals with treatment. Overweight You are more likely to develop prehypertension or high blood pressure if youre overweight or obese. The terms overweight and obese refer to body weight thats greater than what is considered healthy for a certain height. Gender Before age 55, men are more likely than women to develop high blood pressure. After age 55, women are more likely than men to develop high blood pressure. Lifestyle Habits Unhealthy lifestyle habits can raise your risk for high blood pressure, and they include -  eating too much sodium or too little potassium   - lack of physical activity  - drinking too much alcohol  - smoking  - stress. eating too much sodium or too little potassium lack of physical activity drinking too much alcohol smoking stress. Family History A family history of high blood pressure raises the risk of developing prehypertension or high blood pressure. Some people have a high sensitivity to sodium and salt, which may increase their risk for high blood pressure and may run in families. Genetic causes of this condition are why family history is a risk factor for this condition.",NIHSeniorHealth,High Blood Pressure
